N,Tip_Lista,Algoritm,Timp_Sortare,Memorie_Extra_Bytes,Status
10,Aleator,Bubble Sort,194.6726 ns,0,OK
10,Aleator,Selection Sort,222.9575 ns,0,OK
10,Aleator,Insertion Sort,214.6660 ns,0,OK
10,Aleator,Quick Sort,289.7761 ns,Stack,OK
10,Aleator,Merge Sort,2.4117 us,136,OK
50,Aleator,Bubble Sort,5.4630 us,0,OK
50,Aleator,Selection Sort,3.6913 us,0,OK
50,Aleator,Insertion Sort,1.8785 us,0,OK
50,Aleator,Quick Sort,1.7577 us,Stack,OK
50,Aleator,Merge Sort,11.8789 us,1144,OK
100,Aleator,Bubble Sort,24.2542 us,0,OK
100,Aleator,Selection Sort,14.6671 us,0,OK
100,Aleator,Insertion Sort,8.0788 us,0,OK
100,Aleator,Quick Sort,3.5917 us,Stack,OK
100,Aleator,Merge Sort,34.8189 us,2688,OK
1000,Aleator,Bubble Sort,2.3256 ms,0,OK
1000,Aleator,Selection Sort,1.2317 ms,0,OK
1000,Aleator,Insertion Sort,645.1613 us,0,OK
1000,Aleator,Quick Sort,127.3885 us,Stack,OK
1000,Aleator,Merge Sort,278.5515 us,39904,OK
5000,Aleator,Bubble Sort,62.0000 ms,0,OK
5000,Aleator,Selection Sort,33.3333 ms,0,OK
5000,Aleator,Insertion Sort,14.2857 ms,0,OK
5000,Aleator,Quick Sort,884.9558 us,Stack,OK
5000,Aleator,Merge Sort,1.5606 ms,247232,OK
10000,Aleator,Bubble Sort,305.0000 ms,0,OK
10000,Aleator,Selection Sort,199.0000 ms,0,OK
10000,Aleator,Insertion Sort,79.5000 ms,0,OK
10000,Aleator,Quick Sort,1.2500 ms,Stack,OK
10000,Aleator,Merge Sort,3.0303 ms,534464,OK
50000,Aleator,Bubble Sort,8.3560 s,0,OK
50000,Aleator,Selection Sort,2.8350 s,0,OK
50000,Aleator,Insertion Sort,1.5970 s,0,OK
50000,Aleator,Quick Sort,7.0000 ms,Stack,OK
50000,Aleator,Merge Sort,14.5714 ms,3137856,OK
100000,Aleator,Bubble Sort,TIMEOUT,0,TIMEOUT
100000,Aleator,Selection Sort,TIMEOUT,0,TIMEOUT
100000,Aleator,Insertion Sort,6.3290 s,0,OK
100000,Aleator,Quick Sort,16.6667 ms,Stack,OK
100000,Aleator,Merge Sort,44.3333 ms,6675712,OK
10,Sortat,Bubble Sort,72.0008 ns,0,OK
10,Sortat,Selection Sort,216.4858 ns,0,OK
10,Sortat,Insertion Sort,139.6216 ns,0,OK
10,Sortat,Quick Sort,554.9390 ns,Stack,OK
10,Sortat,Merge Sort,1.7299 us,136,OK
50,Sortat,Bubble Sort,231.1081 ns,0,OK
50,Sortat,Selection Sort,3.7872 us,0,OK
50,Sortat,Insertion Sort,657.7262 ns,0,OK
50,Sortat,Quick Sort,9.3572 us,Stack,OK
50,Sortat,Merge Sort,11.4639 us,1144,OK
100,Sortat,Bubble Sort,743.4889 ns,0,OK
100,Sortat,Selection Sort,13.3743 us,0,OK
100,Sortat,Insertion Sort,1.2225 us,0,OK
100,Sortat,Quick Sort,52.7983 us,Stack,OK
100,Sortat,Merge Sort,22.9674 us,2688,OK
1000,Sortat,Bubble Sort,4.5533 us,0,OK
1000,Sortat,Selection Sort,1.2821 ms,0,OK
1000,Sortat,Insertion Sort,10.3810 us,0,OK
1000,Sortat,Quick Sort,2.8333 ms,Stack,OK
1000,Sortat,Merge Sort,248.1390 us,39904,OK
5000,Sortat,Bubble Sort,23.4962 us,0,OK
5000,Sortat,Selection Sort,30.0000 ms,0,OK
5000,Sortat,Insertion Sort,50.3018 us,0,OK
5000,Sortat,Quick Sort,66.5000 ms,Stack,OK
5000,Sortat,Merge Sort,1.4085 ms,247232,OK
10000,Sortat,Bubble Sort,45.0045 us,0,OK
10000,Sortat,Selection Sort,123.0000 ms,0,OK
10000,Sortat,Insertion Sort,115.2074 us,0,OK
10000,Sortat,Quick Sort,SKIPPED,0,CRASH_PREVENTED
10000,Sortat,Merge Sort,2.2308 ms,534464,OK
50000,Sortat,Bubble Sort,414.9378 us,0,OK
50000,Sortat,Selection Sort,2.9740 s,0,OK
50000,Sortat,Insertion Sort,550.5051 us,0,OK
50000,Sortat,Quick Sort,SKIPPED,0,CRASH_PREVENTED
50000,Sortat,Merge Sort,11.2222 ms,3137856,OK
100000,Sortat,Bubble Sort,409.8361 us,0,OK
100000,Sortat,Selection Sort,TIMEOUT,0,TIMEOUT
100000,Sortat,Insertion Sort,952.3810 us,0,OK
100000,Sortat,Quick Sort,SKIPPED,0,CRASH_PREVENTED
100000,Sortat,Merge Sort,23.0000 ms,6675712,OK
10,Descrescator,Bubble Sort,405.4441 ns,0,OK
10,Descrescator,Selection Sort,199.8832 ns,0,OK
10,Descrescator,Insertion Sort,252.4331 ns,0,OK
10,Descrescator,Quick Sort,279.9638 ns,Stack,OK
10,Descrescator,Merge Sort,1.7248 us,136,OK
50,Descrescator,Bubble Sort,8.0913 us,0,OK
50,Descrescator,Selection Sort,3.4863 us,0,OK
50,Descrescator,Insertion Sort,3.8304 us,0,OK
50,Descrescator,Quick Sort,6.5807 us,Stack,OK
50,Descrescator,Merge Sort,10.3520 us,1144,OK
100,Descrescator,Bubble Sort,42.0875 us,0,OK
100,Descrescator,Selection Sort,14.2045 us,0,OK
100,Descrescator,Insertion Sort,14.4113 us,0,OK
100,Descrescator,Quick Sort,21.8723 us,Stack,OK
100,Descrescator,Merge Sort,23.7417 us,2688,OK
1000,Descrescator,Bubble Sort,3.9655 ms,0,OK
1000,Descrescator,Selection Sort,1.1905 ms,0,OK
1000,Descrescator,Insertion Sort,1.2987 ms,0,OK
1000,Descrescator,Quick Sort,1.8519 ms,Stack,OK
1000,Descrescator,Merge Sort,289.0173 us,39904,OK
5000,Descrescator,Bubble Sort,84.5000 ms,0,OK
5000,Descrescator,Selection Sort,60.5000 ms,0,OK
5000,Descrescator,Insertion Sort,30.2500 ms,0,OK
5000,Descrescator,Quick Sort,64.5000 ms,Stack,OK
5000,Descrescator,Merge Sort,1.4706 ms,247232,OK
10000,Descrescator,Bubble Sort,292.0000 ms,0,OK
10000,Descrescator,Selection Sort,124.0000 ms,0,OK
10000,Descrescator,Insertion Sort,151.0000 ms,0,OK
10000,Descrescator,Quick Sort,SKIPPED,0,CRASH_PREVENTED
10000,Descrescator,Merge Sort,2.5556 ms,534464,OK
50000,Descrescator,Bubble Sort,7.0170 s,0,OK
50000,Descrescator,Selection Sort,2.7570 s,0,OK
50000,Descrescator,Insertion Sort,3.1650 s,0,OK
50000,Descrescator,Quick Sort,SKIPPED,0,CRASH_PREVENTED
50000,Descrescator,Merge Sort,13.6667 ms,3137856,OK
100000,Descrescator,Bubble Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Selection Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Insertion Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Quick Sort,SKIPPED,0,CRASH_PREVENTED
100000,Descrescator,Merge Sort,23.8000 ms,6675712,OK
